title,summary,source_url,verified
Barriers to Engage,Barriers to engage in civics • Youth • Minority,,true
Safety,Safety • physical • psychological,,true
Spaces to Talk,Spaces to talk to people face-to-face w/ differing opinions,,true
Entry Points,"Entry points to discuss issues, not just politics",,true
Understanding,Understanding of foreign issues,,true
Connection,Connection open to people,,true
News,News coverage too much sensation,,true
Media Misinformation,Broad concerns regarding how misleading media and digital influencing are negatively impacting civic engagement.,https://theupskillinglabs.org/survey/civics/results#r-3,false
Campaign Finance & District Competitiveness,Observations that financial influence and gerrymandering have reduced the competitiveness of congressional districts.,https://theupskillinglabs.org/survey/civics/results#r-4,false
Ranked Choice Voting Education,The implementation of ranked choice voting lacks sufficient public education to help voters understand its systemic benefits and how it changes voting behaviors.,https://theupskillinglabs.org/survey/civics/results#r-5,false
Targeting Legislative Influence,It is currently too labor-intensive and expensive to identify the most effective individuals or groups to lobby specific legislators on specific issues at the right time.,https://theupskillinglabs.org/survey/civics/results#r-6,false
Local Candidate Information Gaps,"Voters lack easily accessible, actionable information about local county-level candidates, often relying heavily on name recognition from campaign signs.",https://theupskillinglabs.org/survey/civics/results#r-7,false
Public Engagement on Government AI,Citizens lack the tools and platforms to provide feedback on or inform how government agencies and companies deploy artificial intelligence in their communities.,https://theupskillinglabs.org/survey/civics/results#r-8,false
Civic Distrust & Disinformation,"A toxic combination of distrust in voting, a lack of civics literacy, and internet-era disinformation is allowing political entities to manipulate voters' worst instincts.",https://theupskillinglabs.org/survey/civics/results#r-11,false
Logistical & Educational Barriers to Voting,"Voting is burdened by physical hurdles (childcare, time off work) and a lack of plain-language education on how local elections directly impact citizens' daily lives.",https://theupskillinglabs.org/survey/civics/results#r-12,false
The Death of Political Compromise,"The electorate and activists are failing to recognize that compromise is a fundamental component of democracy, negatively impacting civic engagement.",https://theupskillinglabs.org/survey/civics/results#r-13,false
Civics Talent Pipeline Shortage,There is a noticeable shortage of talent to fill junior roles within the civics and elections workforce.,https://theupskillinglabs.org/survey/civics/results#r-14,false
